已清项目/未清项目符号,总账科目,总账科目长文本,冲销科目记帐,凭证类型,凭证编号,物料,行项目,过账日期,凭证日期,借/贷标识,过账码,业务范围,业务部门描述,本币金额,本币,以凭证货币计的金额,凭证货币,税码,业务地点,文本,客户,供应商,贸易伙伴名,税号 2,成本中心,名称,订单,分配,参考代码 1,参考代码 2,参考码3,清帐日期,清帐凭证,冲销科目类型
,21051109,其他应付款_一般,8000076,SA,1100001501,,190,2025/2/28,2025/2/28,H,31,1000,fashion common,"-30,478.17",CNY,"-30,478.17",CNY,,8000,计提信用证手续费202303（USD：8500000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,191,2025/2/28,2025/2/28,H,31,1000,fashion common,"-78,246.58",CNY,"-78,246.58",CNY,,8000,计提信用证手续费202302（CNY：170000000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,192,2025/2/28,2025/2/28,H,31,1000,fashion common,"-26,761.12",CNY,"-26,761.12",CNY,,8000,计提信用证手续费202302（USD：8500000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,194,2025/2/28,2025/2/28,H,31,1000,fashion common,"-59,178.08",CNY,"-59,178.08",CNY,,8000,计提信用证手续费202406（CNY：1.2亿）新韩连带保证金,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,195,2025/2/28,2025/2/28,H,31,1000,fashion common,"-86,630.14",CNY,"-86,630.14",CNY,,8000,计提信用证手续费202301（CNY：170000000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,196,2025/2/28,2025/2/28,H,31,1000,fashion common,"-30,290.20",CNY,"-30,290.20",CNY,,8000,计提信用证手续费202301（USD：8500000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,197,2025/2/28,2025/2/28,H,31,1000,fashion common,"-56,054.79",CNY,"-56,054.79",CNY,,8000,计提信用证手续费20241201-20241231（CNY：1.1亿）产业,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,198,2025/2/28,2025/2/28,H,31,1000,fashion common,"-3,287.67",CNY,"-3,287.67",CNY,,8000,计提信用证手续费20241227-20241231（CNY：4kw）国民,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,199,2025/2/28,2025/2/28,H,31,1000,fashion common,"-40,767.12",CNY,"-40,767.12",CNY,,8000,计提信用证手续费20241201-20241231（CNY：8kw）国民,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,202,2025/2/28,2025/2/28,H,31,1000,fashion common,"-50,630.14",CNY,"-50,630.14",CNY,,8000,计提信用证手续费20250201-20250228（CNY：1.1亿）产业,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,203,2025/2/28,2025/2/28,H,31,1000,fashion common,"-16,438.36",CNY,"-16,438.36",CNY,,8000,计提信用证手续费20250201-20250225（CNY：4kw）国民,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,204,2025/2/28,2025/2/28,H,31,1000,fashion common,"-32,876.71",CNY,"-32,876.71",CNY,,8000,计提信用证手续费20250201-20250225（CNY：8kw）国民,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
